company,Education,experience,industry,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,Degree_PG,Degree_UG
IPsoft Global Services Private Limited,"B.Tech/B.E. - Computers PostgraduatePost Graduation Not Required, M.Tech - Computers Doctorate:Doctorate Not Required",1 - 5 yrs,IT Software Services,1.31E+11,Bengaluru,Machine Learning & NLP Expert -candidates From Premier Institutes Only,10,"12,00,000 - 22,00,000 P.A",10/10/2016,Post Graduate,Under Graduate
Apollo Sugar Clinics Limited,Any Graduates,1 - 6 yrs,Healthcare,1.01E+11,"Chennai, Bengaluru",Marketing Executive-chennai,2,"2,00,000 - 3,00,000 P.A. Other Company Benefits",10/10/2016,,
ITBMS Inc,Any Graduates,2 - 5 yrs,IT Software Services,1.01E+11,"Bengaluru, Pune",Mega Walk-in Drive - Tech M - Genesys - Pune / Bangalore - 15 Oct 16,50,"5,00,000 - 12,00,000 P.A",10/11/2016,,
TalentPegs,Any Graduates,0 - 5 yrs,Social Services,2.61E+11,"Mumbai, Bengaluru",Data Entry Typing work,1,"1,50,000 - 5,00,000 P.A",10/10/2016,,
Manzil Placement,Any Graduate,4 - 9 yrs,Banking,2.91E+11,"Bengaluru, Mumbai, Chennai, Pune, Hyderabad, Delhi NCR",Priorty Banking ( Banking Wealth),1,Not Disclosed by Recruiter,10/10/2016,,
Local Job Search,Any Graduate,0 - 2 yrs,IT Software Services,1.51E+11,"Bengaluru, Hyderabad",Associate Software Engineer And Testing Jobs In Bangalore,1,"3,00,000 - 6,00,000 P.A",10/12/2016,,
Confidential,Any Graduate,0 - 5 yrs,Retail,2.00E+11,Bengaluru,Showroom Executives,1,Not Disclosed by Recruiter,10/10/2016,,
InstaCar Technologies Pvt. Ltd.,Any Graduates,5 - 10 yrs,IT Software Services,2.01E+11,"Bengaluru, Mumbai, Indore",Android Developer,1,"6,00,000 - 12,00,000 P.A",10/11/2016,,
Delight HR Services Pvt Ltd.,Any Graduate - Any Specialization PostgraduatePost Graduation Not Required,2 - 5 yrs,Other,2.01E+11,Bengaluru,SPA Manager for a Leading Spa & Salon,1,"2,50,000 - 3,50,000 P.A",10/10/2016,,
Azim Premji Foundation,Any Graduate - Any Specialization PostgraduateMBA/PGDM - HR/Industrial Relations,1 - 3 yrs,Social Services,10116001126,Bengaluru,Recruitment Coordinator- Bangalore,1,Not Disclosed by Recruiter,10/11/2016,Post Graduate,
Step Ahead,Any Graduates,7 - 10 yrs,Architecture,30816004361,Bengaluru,"BDM from Furniture, Interior Desig call Hyderabad 8904440505/0606",1,"4,25,000 - 9,00,000 P.A",10/12/2016,,
Human Capital and Tech Solutions,B.Tech/B.E. - Computers,6 - 11 yrs,IT Software Services,1.01E+11,Bengaluru,Lead Engineer (java) with 6+ Years Experience Required at Bangalore,5,#NAME?,10/09/2016,,Under Graduate
Confidential,Any Graduate,0 - 1 yrs,Recruitment,2.60E+11,Bengaluru,Immediate Opening for Freshers-btech (IT Recruiter),1,Not Disclosed by Recruiter,10/10/2016,,
Puravankara Projects Limited,Any Graduate - Any Specialization PostgraduateMBA/PGDM - Any Specialization Doctorate:Doctorate Not Required,1 - 3 yrs,Real Estate ,1.01E+11,Bengaluru,Executive - CRM,1,Not Disclosed by Recruiter,10/10/2016,Post Graduate,
Viaweb Technologies Solutions LLP,"B.Sc - Computers, B.Tech/B.E. - Any Specialization, Computers, BCA - Computers PostgraduateMCA - Computers",2 - 3 yrs,IT Software Services,1.01E+11,Bengaluru,Web Developer & Designer,1,Based on experience and skill set,10/10/2016,,Under Graduate
Confidential,Any Graduate,2 - 4 yrs,Recruitment,2.30E+11,Bengaluru,Immediate Openings for Bench Sales Recruiter for Bangalor,1,Not Disclosed by Recruiter,10/10/2016,,
Confident Group,Any Graduates,0 - 5 yrs,Real Estate ,1.11E+11,Bengaluru,Sales Executive For Construction Industry,2,commission on sales will be given,10/11/2016,,
Softtech Career Infosystem Pvt. Ltd,Any Graduate,4 - 8 yrs,IT Software Services,1.01E+11,Bengaluru,MS SQL Database Administrator - SQL Server,1,Not Disclosed by Recruiter,10/10/2016,,
Adecco India Private Limited hiring for a,"Any Graduate, Graduation Not Required PostgraduateAny Postgraduate, Post Graduation Not Required Doctorate:Any Doctor",0 - 0 yrs,Courier,71016006334,Bengaluru,Wanted Delivery Boy With Valid DL and Bike or with out DL,50,"1,00,000 - 1,50,000 P.A. A",10/10/2016,,
QuintilesIMS Research India Private Limited.,"B.Pharma - Pharmacy, BDS - Dentistry PostgraduateM.Pharma - Pharmacy, MDS - Any Specialization Doctorate:Doctorate No",0 - 1 yrs,Biotech,1.21E+11,Bengaluru,Open Walk-in for Freshers ( Pharmacovigilance) @ Quintilesims,30,Not Disclosed by Recruiter,10/12/2016,,
Pinaki Softcon Pvt Ltd,Any Graduates,4 - 9 yrs,IT Software Services,1.01E+11,"Bengaluru, Gurgaon",Was/weblogic Developer,6,"5,00,000 - 15,00,000 P.A",10/10/2016,,
Confidential,Any Graduate,3 - 5 yrs,IT Software Services,50916901040,Bengaluru,.3G Developer,1,Not Disclosed by Recruiter,10/10/2016,,
Rivera Manpower Services hiring for EY/ IBM/ Ocwen / Altisource / Capita,Any Graduates,3 - 5 yrs,BPO,1.11E+11,Bengaluru,Sr.practitioner -finance/ AR / SAL 5 LACS !!cal 7829330187,25,"3,00,000 - 5,50,000 P.A",10/11/2016,,Under Graduate
Confidential,Any Graduate,1 - 4 yrs,Recruitment,2.40E+11,"Chennai, Bengaluru, Noida",Immediate Opening for Social Media Recruiter_hcl Technologies,1,Not Disclosed by Recruiter,10/10/2016,,
Zivame.Com,Any Graduates,0 - 5 yrs,Internet,1.21E+11,Bengaluru,"Fashion Consultant,store Manager-female Candidate-walkin 13&14 Oct",5,"1,50,000 - 5,00,000 P.A",10/12/2016,,
Ascent Consulting Services P Ltd hiring for Ascent,"B.Tech/B.E. - Any Specialization, Diploma - Any Specialization, Computers, Electrical, Electronics/Telecommu",0 - 0 yrs,Analytics,1.11E+11,Bengaluru,System Administrator (fresher) - Walk-in,2,Not Disclosed by Recruiter,10/11/2016,,Under Graduate
GE IIPL - Training Division (GE HEalthcare),"B.Tech/B.E. - Any Specialization PostgraduateMBA/PGDM - Any Specialization, M.Tech - Any Specialization Doctorate:Doc",7 - 9 yrs,Healthcare,1.01E+11,Bengaluru,Product Sourcing Leader,1,Not Disclosed by Recruiter,10/10/2016,Post Graduate,Under Graduate
Mind Coral Services Pvt. Ltd.' hiring for Renowned client of Mindcoral Services,Any Graduate,8 - 13 yrs,Telecom/ISP,2.01E+11,"Bengaluru, Gurgaon","Network L3,4-10year , Bangalore and Gurgaon",1,"14,00,000 - 15,00,000 P.A",10/10/2016,,
Span Outsourcing Pvt. Ltd.,Any Postgraduate,1 - 3 yrs,BPO,1.11E+11,Bengaluru,Recruitment Executive,4,"2,00,000 - 3,00,000 P.A. Attractive Incentives",10/11/2016,Post Graduate,
radical technologies hiring for Radical Technologies,"Diploma - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce, B.Tech/B.E. - Any Specialization,",0 - 1 yrs,Education,2.91E+11,Bengaluru,Technical Counsellor,1,"1,00,000 - 2,00,000 P.A",10/11/2016,,Under Graduate
Quess Corp Ltd.,Any Graduates,2 - 6 yrs,Industrial Products,1.01E+11,"Bengaluru, Gurgaon",Sr Executive/ Executive - Hr(event Management Only)- Gurgoan/ Bangalor,1,"4,00,000 - 6,50,000 P.A",10/10/2016,,
Allegis Services India Pvt. Ltd. hiring for Worlds Largest Financial Organization,Any Graduate,4 - 8 yrs,Banking,1.01E+11,Bengaluru,Looking for Java Developer with Japanese Language Experience.,1,Not Disclosed by Recruiter,10/10/2016,,
Koenig Solutions Ltd,Any Graduate,3 - 8 yrs,Education,90816000620,"Delhi, Bengaluru",Oracle Corporate Trainer,1,Best in the Industry,10/10/2016,,
ASAP Info Systems Pvt Ltd,Any Graduates,3 - 8 yrs,IT Software Services,1.01E+11,"Bengaluru, Hyderabad",Oracle Finance Technical,1,"2,00,000 - 7,00,000 P.A",10/10/2016,,
Radar Technosoft (I) Pvt. Ltd hiring for Precellent Convergence India Private Limited,Any Graduates,0 - 1 yrs,Education,71016001652,Bengaluru,Placement Cordinator,1,Not Disclosed by Recruiter,10/11/2016,,
Anlage Infotech (I) Pvt. Ltd.,Any Graduates,5 - 10 yrs,IT Software Services,90816007790,Bengaluru,Senior JAVA Developer Int:mumbai Job:bang,1,As per company constraints,10/12/2016,,
TRH Consultancy Services,"Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization Doctorate:Doctorate Not Required",3 - 8 yrs,IT Software Services,1.01E+11,"Bengaluru, Chennai",IFS ERP Consultant - Manufacturing and Demand Supply Chain Module,1,Not Disclosed by Recruiter,10/10/2016,,Under Graduate
Bob Technologies,Any Graduate,5 - 8 yrs,Recruitment,71016902342,Bengaluru,Lead Product Engineer,1,Not Disclosed by Recruiter,10/10/2016,,
"HITECH PLACEMENTS, Bangalore",B.B.A / B.M.S - Management,1 - 2 yrs,Construction,21016001073,Bengaluru,"Sr. Marketing Executive - Jobs, Bangalore / Bengaluru",1,Not Disclosed by Recruiter,10/12/2016,,
Manzil Placement,Any Graduate,7 - 12 yrs,Banking,2.91E+11,"Mumbai, Chennai, Hyderabad, Bengaluru, Pune, Delhi NCR",Investment Counselor - Banking,1,Not Disclosed by Recruiter,10/10/2016,,
all for kids,Any Graduate - Any Specialization PostgraduatePost Graduation Not Required,0 - 5 yrs,Education,40613000071,Bengaluru,Part Time Teachers - Bangalore /whitefield/gunjur/hrbr Layout/banswadi,1,Not Disclosed by Recruiter,10/12/2016,,
Park Plaza Hotels & Resorts,BHM - Hotel Management,4 - 9 yrs,Travel,1.11E+11,Bengaluru,Duty Manager,1,Not Disclosed by Recruiter,10/11/2016,,
Rooman Technologies Pvt. Ltd.,Any Graduates,1 - 3 yrs,Education,1.01E+11,Bengaluru,HR Executive,1,"1,50,000 - 3,00,000 P.A",10/10/2016,,
Gratitude India,Graduation Not Required PostgraduatePost Graduation Not Required,0 - 5 yrs,BPO,1.21E+11,"Mumbai, Bengaluru, Delhi NCR","JP Morg@n,@mex,tc$, Hiring for Banking Process Uk Shift Salary 5L",1,"2,25,000 - 6,00,000 P.A. Best in the Industry & Excellent Incentives!",10/12/2016,,
IPsoft Global Services Private Limited,"B.Tech/B.E. - Computers PostgraduatePost Graduation Not Required, M.Tech - Computers Doctorate:Doctorate Not Required",6 - 10 yrs,IT Software Services,80616006302,Bengaluru,Senior Recruiter - BFSI Hiring - Non IT,1,"5,00,000 - 12,00,000 P.A",10/10/2016,Post Graduate,Under Graduate
Confidential,Any Graduate,1 - 3 yrs,IT Software Services,2.81E+11,Bengaluru,Human Resource Executive - HR Operations,1,Not Disclosed by Recruiter,10/11/2016,,
Bob Technologies,Any Graduate,7 - 12 yrs,Recruitment,71016902349,"Bengaluru, Mumbai",Reliability Engineer,1,Not Disclosed by Recruiter,10/10/2016,,
White Horse Manpower Consultancy Private Limited hiring for MNC Bpo/kpo,B.Com - Commerce PostgraduateCA,0 - 2 yrs,BPO,1.01E+11,Bengaluru,Chartered Accountant 0 to 2 Years for MNC Bpo/kpo,30,"4,00,000 - 5,00,000 P.A. Plus Incentives and food coupons with transportation",10/10/2016,,
GE IIPL - Training Division (GE HEalthcare),"B.Tech/B.E. - Any Specialization PostgraduateMBA/PGDM - Any Specialization, M.Tech - Any Specialization Doctorate:Doc",6 - 8 yrs,Healthcare,1.01E+11,Bengaluru,Lead Manager - Materials,1,Not Disclosed by Recruiter,10/10/2016,Post Graduate,Under Graduate
Future Focus Infotech Pvt. Ltd. hiring for one of our client,Any Graduate,5 - 8 yrs,IT Software Services,1.01E+11,"Bengaluru, Trivandrum",Teradata DBA for Bangalore / Trivandrum,1,Not Disclosed by Recruiter,10/10/2016,,
Local Job Search,Any Graduate,0 - 0 yrs,IT Software Services,2.21E+11,"Bengaluru, Chennai, Mumbai, Pune, Hyderabad, Gurgaon",Engineering Jobs for Freshers in IT Sector,1,"1,75,000 - 4,00,000 P.A",10/12/2016,,
Kaamkaajindia hiring for Client of KKI,"Any Graduate PostgraduateAny Postgraduate, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization,",5 - 10 yrs,Education,1.01E+11,"Mumbai, Pune, Bengaluru",Centre Manager / TL / Sales Manager - Any Industry ( Sales Background),4,"3,00,000 - 4,00,000 P.A. Upto 32 K + Conveyance + Mobile + LTA + Bonus + Incentives ( No Capping)",10/10/2016,,
TeamLease Services Limited,Any Graduate,2 - 7 yrs,Banking,71016001890,Bengaluru,Asset DESK Manager_leading Bank_bangalore,1,"2,00,000 - 6,00,000 P.A",10/12/2016,,
Faxhion Technologies Private Limited,Any Graduates,0 - 5 yrs,IT Software Services,2.61E+11,Bengaluru,Urgent Openings for Big Data / Hadoop Developer,1,"2,00,000 - 7,00,000 P.A",10/11/2016,,
Kinesis Management Consultant Pvt. Ltd,Any Graduates,10 - 20 yrs,Education,1.31E+11,"Delhi NCR, Mumbai, Bengaluru, Hyderabad, Chennai, Ahmedabad",VP Operations ( B2G) Business to Government,1,Not Disclosed by Recruiter,10/12/2016,,
SHORTLIST PROFESSIONAL SERVICES PRIVATE LIMITED hiring for Logistimo,Any Graduate - Any Specialization PostgraduateMBA/PGDM - Any Specialization,3 - 6 yrs,Courier,3.01E+11,Bengaluru,Product Support Specialist - Logistimo,1,"7,00,000 - 12,00,000 P.A. Based on previous experience, subject to customary increases on joining.",10/10/2016,Post Graduate,
Synophic Systems Inc,"B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, BCA - Computers PostgraduateMCA - Computers, MS/M.Sc(Sci",7 - 12 yrs,Telecom/ISP,1.11E+11,Bengaluru,"IP MPLS Engineer(l3) with Cgnat, ASR 9K",1,"6,50,000 - 13,00,000 P.A. Negotiable",10/12/2016,,Under Graduate
Confidential,Any Graduate,2 - 7 yrs,IT Software Services,80716900276,Bengaluru,Optical Testing Engineer,1,Not Disclosed by Recruiter,10/10/2016,,
Altisource Business Solutions Pvt Ltd,Any Graduate,4 - 8 yrs,IT Software Services,1.01E+11,Bengaluru,Senior Software Engineer,1,Not Disclosed by Recruiter,10/10/2016,,
ABC Consultants Pvt Ltd hiring for a client of ABC Consultants,Any Graduates,5 - 9 yrs,Construction,1.01E+11,"Gurgaon, Ahmedabad, Surat, Mumbai, Bengaluru",Manager - Sales & Marketing - Solution Based Technology Company,5,"5,00,000 - 7,00,000 P.A. Fixed+ Variable",10/10/2016,,
HCL Technologies,"B.Tech/B.E. - Any Specialization PostgraduateM.Tech - Any Specialization, MCA - Computers, MS/M.Sc(Science) - Any Spe",5 - 10 yrs,IT Software Services,1.01E+11,Bengaluru,HCL Technologies Hiring for Linux Device Driver Developer,45,Not Disclosed by Recruiter,10/10/2016,Post Graduate,Under Graduate
Orcapod Consulting Services Private Limited,Any Graduates,3 - 8 yrs,Recruitment,1.01E+11,"Bengaluru, Pune, Delhi NCR, Chennai, Hyderabad, Kolkata, Bhubaneshwar, Chandigarh",IT Recruiter/counsulatants (work From Home)- Only Ladies,1,"1,75,000 - 2,75,000 P.A",10/10/2016,,
Crystal Hiring Pvt. Ltd.,Any Graduates,7 - 12 yrs,IT Software Services,1.11E+11,"Mumbai, Bengaluru",Ugent Opening for Java J2Ee Developer For Mumbai and Bangalore Locatio,1,"6,00,000 - 12,00,000 P.A",10/11/2016,,
Confidential,Any Graduate,1 - 4 yrs,Recruitment,2.41E+11,Bengaluru,Hiring for IT Recruiters & Non IT Recruiters,1,Not Disclosed by Recruiter,10/10/2016,,
Synophic Systems Inc,"B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, BCA - Computers PostgraduateMCA - Computers, MS/M.Sc(Sci",4 - 9 yrs,Telecom/ISP,31016006181,Bengaluru,IP L2/l3(cgnat /nat/ Asr9k) - Bangalore,5,Negotiable,10/10/2016,,Under Graduate
IFB Support Services Pvt. Ltd.,Any Graduate,6 - 11 yrs,IT Software Services,1.71E+11,Bengaluru,Senior Software Engineer / Technical Lead - Java,5,Not Disclosed by Recruiter,10/10/2016,,
InstaCar Technologies Pvt. Ltd.,Any Graduates,1 - 5 yrs,IT Software Services,2.01E+11,"Bengaluru, Mumbai, Indore",Sales Executive / Manager,1,"1,75,000 - 2,50,000 P.A",10/11/2016,,
United Capital Club,"B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, Diploma - Any Specialization, B.Com - Commerce,",0 - 1 yrs,IT Software Services,2.01E+11,"Delhi, Hyderabad, Dehradun, Mumbai, Bengaluru, Jaipur",Available Part time / full time work at Top M.n.c Company-9502349603,25,"2,00,000 - 4,00,000 P.A",10/12/2016,,Under Graduate
O&G SKILLS INDIA PVT LTD,B.Tech/B.E. - Any Specialization,6 - 11 yrs,Automation,1.11E+11,Bengaluru,Sales Manager - Bangalore,1,Not Disclosed by Recruiter,10/11/2016,,Under Graduate
Kent Ro Systems,"Diploma - Any Specialization, B.Tech/B.E. - Electrical, Mechanical PostgraduateAny Postgraduate",5 - 10 yrs,Consumer Electronics / Appliances / Durables,1.21E+11,Bengaluru,Area Service Managers Required For Bangalore,1,Not Disclosed by Recruiter,10/12/2016,,Under Graduate
Gratitude India hiring for All TOP Bpo's in India,Any Postgraduate,5 - 10 yrs,BPO,1.11E+11,"Mumbai, Pune, Bengaluru","W*S, Mp*a&i&, Se**o, Jp*c, A*M, M*ha*i* BPOs Hiring! Sal Upto 35k",1,"2,00,000 - 6,00,000 P.A. Best in the Industry & Excellent Incentives!",10/11/2016,Post Graduate,
Bharat Recruitment hiring for US Based MNC,Any Graduates,0 - 5 yrs,IT Software Services,1.11E+11,"Bengaluru, Mumbai, Chennai, Pune, Hyderabad, Cuttack, Dadra and Nagar Haveli, Delhi NCR, Kochi",Manual Tester\test Engineer,1,Not Disclosed by Recruiter,10/11/2016,,
LAYFIELD & BARRETT KPO SERVICES PRIVATE LIMITED,MBA/PGDM,1 - 5 yrs,Legal,70916000152,"Chandigarh, Bengaluru",Litigation Paralegal,1,Not Disclosed by Recruiter,10/10/2016,Post Graduate,
"Quess Corp Ltd. hiring for quikr, bigbasket, azuga, 24/7",Any Graduate - Any Specialization PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specializati,1 - 4 yrs,BPO,1.21E+11,Bengaluru,Immediate Openings!!! Attractive Salary Packages!!! Call- Dimple,1,"50,000 - 3,00,000 P.A",10/12/2016,,
Confidential,Any Graduate,5 - 10 yrs,Recruitment,90516900388,Bengaluru,Oracle DBA,1,Not Disclosed by Recruiter,10/10/2016,,
Varite India Pvt. Ltd. hiring for Leading IT MNC,B.Tech/B.E. - Any Specialization,6 - 10 yrs,IT Software Services,1.11E+11,"Bengaluru, Hyderabad",Enterprise Application Advisor,1,Not Disclosed by Recruiter,10/11/2016,,Under Graduate
Confidential,Any Graduate,5 - 10 yrs,IT Software Services,2.90E+11,Bengaluru,Sr. Technical Lead with a Product Based Company,1,Not Disclosed by Recruiter,10/10/2016,,
Emind Technologies - Jayanagar,Any Postgraduate,1 - 3 yrs,Education,1.61E+11,Bengaluru,"MCSA , MCSE & Exchange Sever Trainer - Jayanagar",3,"1,50,000 - 2,25,000 P.A. Incentives",10/10/2016,Post Graduate,
Black and White Business Solutions Pvt Ltd hiring for Client of Black and white Busiess solutions,"Any Graduate - Any Specialization, Any Specialization, Any Specialization PostgraduateAny Postgraduate, Post Graduati",0 - 4 yrs,BPO,1.01E+11,Bengaluru,"Customer Support Executive , Call Center BPO , Dayshift , Day Shift",25,"2,00,000 - 3,00,000 P.A. Best in the industry + Incentives + NSA",10/10/2016,,
Greenage Griha Nirmaan Pvt Ltd.,B.Arch - Architecture,2 - 7 yrs,Real Estate ,50716005489,Bengaluru,QA QC Engineer-salarpuria Sattva,3,Not Disclosed by Recruiter,10/10/2016,,
Adglobal360 India Private Limited,"Any Graduate PostgraduateAny Postgraduate, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization,",2 - 4 yrs,Advertising,1.21E+11,Bengaluru,Urgent Requirement | SEO Executive I Bangalore,2,"1,75,000 - 3,00,000 P.A",10/12/2016,,
Pype Inc,"B.Tech/B.E. - Computers PostgraduateM.Tech - Any Specialization, Computers",5 - 8 yrs,IT Software Services,1.11E+11,Bengaluru,Oracle Apex Developer,1,"7,00,000 - 11,00,000 P.A",10/11/2016,Post Graduate,Under Graduate
Target,Any Graduates,3 - 6 yrs,IT Software Services,1.01E+11,Bengaluru,Analytics Engineer Openings Based out in Bangalore,1,"5,00,000 - 11,00,000 P.A",10/10/2016,,
Raykroute for a Publicis Group Company,Any Graduates,5 - 7 yrs,Advertising,1.01E+11,Bengaluru,Creative Art Director : Social Media,1,"6,00,000 - 7,50,000 P.A",10/10/2016,,
Amogh Software Solutions Pvt Ltd hiring for Leading Private Sector Bank,Any Graduates,3 - 7 yrs,Banking,1.61E+11,Bengaluru,Branch Head >> Bangalore>> Leading Pvt Sector Bank,1,Not Disclosed by Recruiter,10/10/2016,,
Confidential,Any Graduate,5 - 10 yrs,Recruitment,80716900942,Bengaluru,BYOD Mobility,1,Not Disclosed by Recruiter,10/10/2016,,
Wellspring Healthcare Pvt. Ltd.,Any Graduate - Any Specialization PostgraduatePost Graduation Not Required,1 - 6 yrs,Healthcare,2.31E+11,"Bengaluru, Gurgaon","Dietician - Bangalore , Gurgaon",2,"2,00,000 - 3,00,000 P.A. Best in Industry",10/12/2016,,
Confidential,Any Graduate,1 - 3 yrs,Recruitment,80716900262,Bengaluru,Sr Associate,1,Not Disclosed by Recruiter,10/10/2016,,
Confidential,Any Graduate,3 - 5 yrs,IT Software Services,80716900267,Bengaluru,Sr.java Developer(server side JAVA Programming),1,Not Disclosed by Recruiter,10/10/2016,,
Bharat Recruitment hiring for US Based MNC,Any Graduates,0 - 5 yrs,Travel,1.01E+11,"Bengaluru, Mumbai, Chennai",Ground Staff Walk in Interviews,1,Not Disclosed by Recruiter,10/10/2016,,
